Time (s)	Vds (V)	Ids (A)	Vgs (V)	Igs (A)
2.0156299999999999E+2	-1.0000000000000000E+0	-6.0855747108234936E-8	-4.7999998927116388E-1	3.6760141597369511E-8
2.0254800000000000E+2	-1.0000000000000000E+0	-4.4550098721174442E-8	-4.1999998688697809E-1	3.8330306040279538E-8
2.0354700000000000E+2	-1.0000000000000000E+0	-3.1887136486830059E-8	-3.6000001430511469E-1	3.9574754140403463E-8
2.0454900000000001E+2	-1.0000000000000000E+0	-2.2556376322313550E-8	-3.0000001192092901E-1	4.0562724734627409E-8
2.0555000000000001E+2	-1.0000000000000000E+0	-1.6224051435642650E-8	-2.3999999463558200E-1	4.1366565284306489E-8
2.0655000000000001E+2	-1.0000000000000000E+0	-1.2421763173620090E-8	-1.8000000715255740E-1	4.2117619614145951E-8
2.0754800000000000E+2	-1.0000000000000000E+0	-1.0520530224766839E-8	-1.1999999731779100E-1	4.2866563632060213E-8
2.0854900000000001E+2	-1.0000000000000000E+0	-9.9658254981704885E-9	-5.9999998658895493E-2	4.3650555170415828E-8
2.0954700000000000E+2	-1.0000000000000000E+0	-1.0167491737433920E-8	0.0000000000000000E+0	4.4380929153930992E-8
2.1054800000000000E+2	-1.0000000000000000E+0	-1.0749781509389321E-8	5.9999998658895493E-2	4.5079040944528970E-8
2.1154800000000000E+2	-1.0000000000000000E+0	-1.1461544602298090E-8	1.1999999731779100E-1	4.5671583848161390E-8
2.1254900000000001E+2	-1.0000000000000000E+0	-1.2244582237030949E-8	1.8000000715255740E-1	4.6094609018609838E-8
2.1354700000000000E+2	-1.0000000000000000E+0	-1.3117933406192611E-8	2.3999999463558200E-1	4.6184158719597690E-8
2.1455000000000001E+2	-1.0000000000000000E+0	-1.4237380163706350E-8	3.0000001192092901E-1	4.6032333500534150E-8
2.1554900000000001E+2	-1.0000000000000000E+0	-1.5302145328632829E-8	3.6000001430511469E-1	4.0096701070524432E-8
2.1775999999999999E+2	-1.0000000000000000E+0	-1.7041147160057328E-8	4.1999998688697809E-1	4.2368888841792802E-8
2.1854599999999999E+2	-1.0000000000000000E+0	-1.9089437586217169E-8	4.7999998927116388E-1	4.3638909374976720E-8
2.1954900000000001E+2	-1.0000000000000000E+0	-2.1608435929465489E-8	5.4000002145767212E-1	4.5360220468637642E-8
2.2054700000000000E+2	-1.0000000000000000E+0	-1.8818855807012369E-8	4.7999998927116388E-1	3.1848394144162739E-8
2.2154800000000000E+2	-1.0000000000000000E+0	-1.6250204737389140E-8	4.1999998688697809E-1	2.3516427916092649E-8
2.2254800000000000E+2	-1.0000000000000000E+0	-1.3915622432136839E-8	3.6000001430511469E-1	1.7105639571468600E-8
